,model,RAM,approx_price_EUR,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb,brand,OS,battery_removable,battery_type,cluster
653,U8800 Pro,0.512,70.0,1500.0,1,1.0,5.0,0.0,4.0,20,0,1,1,3
654,U9000 IDEOS X6,0.512,90.0,1400.0,1,1.0,5.0,0.6,2.0,20,0,1,0,3
655,U8800 IDEOS X5,0.512,100.0,1500.0,1,0.8,5.0,0.0,4.0,20,0,1,1,3
656,IDEOS S7,0.256,70.0,2200.0,1,1.0,2.0,0.0,8.0,20,0,0,0,3
657,IRist Smartwatch,0.512,160.0,600.0,2,1.2,5.0,0.0,4.0,21,0,0,0,3
658,Sparkle V,1.0,80.0,1700.0,4,1.3,5.0,2.0,4.0,22,0,1,0,3
659,Titanium Octane Plus,2.0,220.0,2000.0,8,1.7,16.0,8.0,16.0,22,0,1,0,3
660,Titanium Octane,1.0,170.0,2000.0,8,1.7,13.0,5.0,16.0,22,0,1,0,3
661,Titanium X,1.0,200.0,2300.0,4,1.5,13.0,5.0,16.0,22,0,0,0,3
662,S5 Titanium,1.0,160.0,2000.0,4,1.2,8.0,2.0,4.0,22,0,1,0,3
663,Smart Tab 7,0.512,80.0,3700.0,1,1.2,2.0,0.0,1.0,22,0,0,0,2
664,DuraForce,2.0,320.0,3100.0,4,1.4,8.0,2.0,16.0,23,0,0,0,2
665,Brigadier,2.0,300.0,3100.0,4,1.4,8.0,2.0,16.0,23,0,0,0,2
666,Torque E6710,1.0,270.0,2500.0,2,1.2,5.0,1.3,4.0,23,0,1,0,3
667,A77,1.0,6099.0,2000.0,4,1.3,5.0,5.0,8.0,25,0,1,0,3
668,V5,3.0,150.0,3000.0,4,1.3,13.0,8.0,16.0,25,0,1,1,2
669,X10,3.0,150.0,2900.0,4,1.3,13.0,5.0,16.0,25,0,1,1,2
670,Pixel V2,2.0,120.0,2500.0,4,1.0,13.0,8.0,16.0,25,0,1,1,3
671,Pixel V1,2.0,160.0,2560.0,4,1.3,8.0,5.0,32.0,25,0,1,1,3
672,Iris X1 Grand,1.0,110.0,2200.0,4,1.3,8.0,2.0,8.0,25,0,1,1,3
673,Iris Win1,1.0,70.0,1950.0,4,1.2,5.0,0.6,8.0,25,2,1,0,3
674,Iris X5,1.0,110.0,2100.0,4,1.2,8.0,5.0,8.0,25,0,1,0,3
675,Iris Pro 30+,1.0,150.0,2000.0,4,1.5,13.0,3.0,16.0,25,0,1,1,3
676,Iris X1,1.0,100.0,2100.0,4,1.2,8.0,2.0,8.0,25,0,1,0,3
677,Iris 450 Colour,0.512,100.0,1800.0,2,1.3,5.0,0.6,4.0,25,0,1,0,3
678,Iris 406Q,1.0,80.0,1700.0,4,1.2,5.0,0.6,4.0,25,0,1,0,3
679,Iris Pro 20,1.0,150.0,2000.0,4,1.2,8.0,0.6,4.0,25,0,1,1,3
680,Iris Pro 30,1.0,180.0,2000.0,4,1.2,8.0,3.0,4.0,25,0,1,1,3
681,Iris 404e,0.256,50.0,1400.0,2,1.2,2.0,0.6,2.0,25,0,1,0,3
682,Iris 503e,0.512,90.0,2000.0,2,1.0,3.15,1.3,4.0,25,0,1,0,3
683,Iris 506Q,0.512,110.0,2000.0,4,1.2,5.0,0.6,4.0,25,0,1,1,3
684,Iris 505,0.512,100.0,2000.0,2,1.2,5.0,0.6,4.0,25,0,1,1,3
685,Iris 504q,1.0,170.0,2000.0,4,1.2,8.0,2.0,4.0,25,0,1,1,3
686,3G 402+,0.512,70.0,1500.0,4,1.2,3.15,0.6,4.0,25,0,1,0,3
687,Iris 405+,0.512,70.0,1400.0,2,1.3,5.0,0.6,4.0,25,0,1,1,3
688,Iris 503,0.512,90.0,2000.0,2,1.0,3.15,1.3,4.0,25,0,1,0,3
689,Le S3,3.0,200.0,3000.0,8,1.4,16.0,8.0,32.0,26,0,0,0,2
690,Le 2 Pro,4.0,260.0,3000.0,10,2.5,21.0,8.0,32.0,26,0,0,0,2
691,Le 2,3.0,190.0,3000.0,10,2.3,16.0,8.0,64.0,26,0,0,0,2
692,Le Max,4.0,350.0,3400.0,8,1.5,21.0,4.0,128.0,26,0,0,1,2
693,Le 1s,3.0,210.0,3000.0,8,2.2,13.0,5.0,32.0,26,0,0,0,2
694,Tab 4 10,2.0,140.0,7000.0,4,1.4,5.0,2.0,32.0,27,0,0,0,1
695,Tab 4 8,2.0,100.0,4850.0,4,1.4,5.0,2.0,32.0,27,0,0,0,2
696,Tab3 8 Plus,3.0,170.0,4250.0,8,2.0,8.0,5.0,16.0,27,0,0,1,2
697,A6600 Plus,2.0,130.0,2300.0,4,1.0,8.0,2.0,16.0,27,0,1,1,3
698,A6600,1.0,110.0,2300.0,4,1.0,8.0,2.0,16.0,27,0,1,1,3
699,B,1.0,80.0,2000.0,4,1.0,5.0,2.0,8.0,27,0,1,0,3
700,A Plus,1.0,70.0,2000.0,4,1.3,5.0,2.0,8.0,27,0,1,1,3
701,K6,2.0,200.0,3000.0,8,1.4,13.0,8.0,32.0,27,0,0,0,2
702,Yoga Tab 3 Plus,3.0,300.0,9300.0,8,1.8,13.0,5.0,32.0,27,0,0,0,1
703,Vibe A,0.512,50.0,1700.0,4,1.3,5.0,0.6,4.0,27,0,1,1,3
704,C2 Power,2.0,170.0,3500.0,4,1.0,8.0,5.0,16.0,27,0,1,0,2
705,C2,1.0,200.0,2750.0,4,1.0,8.0,5.0,16.0,27,0,1,0,2
706,Phab2 Plus,3.0,250.0,4050.0,8,1.3,13.0,8.0,32.0,27,0,0,0,2
707,Phab2,3.0,230.0,4050.0,4,1.3,13.0,5.0,32.0,27,0,0,0,2
708,Phab2 Pro,4.0,550.0,4050.0,8,1.8,16.0,8.0,64.0,27,0,0,0,2
709,ZUK Z2,4.0,220.0,3500.0,4,2.15,13.0,8.0,64.0,27,0,0,1,2
710,Vibe C,1.0,90.0,2300.0,4,1.1,5.0,2.0,8.0,27,0,1,0,3
711,Tab3 7,1.0,80.0,3450.0,4,1.3,2.0,0.6,16.0,27,0,0,0,2
712,Vibe K5 Plus,2.0,140.0,2750.0,8,1.5,13.0,5.0,16.0,27,0,1,0,2
713,Vibe K5,2.0,120.0,2750.0,8,1.5,13.0,5.0,16.0,27,0,1,0,2
714,A7000 Turbo,2.0,180.0,2900.0,8,1.7,13.0,5.0,16.0,27,0,1,0,2
715,Vibe P1 Turbo,3.0,260.0,4900.0,8,1.6,13.0,5.0,32.0,27,0,0,1,2
716,Lemon 3,2.0,110.0,2750.0,8,1.5,13.0,5.0,16.0,27,0,1,1,2
717,Vibe S1 Lite,2.0,210.0,2700.0,8,1.3,13.0,8.0,16.0,27,0,0,1,3
718,Vibe X3 c78,2.0,320.0,3300.0,8,1.3,13.0,5.0,16.0,27,0,0,1,2
719,Vibe X3,3.0,300.0,3500.0,6,1.4,21.0,8.0,64.0,27,0,0,1,2
720,A3690,1.0,110.0,2300.0,4,1.0,8.0,2.0,8.0,27,0,1,1,3
721,Yoga Tab 3 8.0,1.0,160.0,6200.0,4,1.1,8.0,0.0,16.0,27,0,0,0,1
722,A1000,1.0,60.0,2000.0,4,1.3,5.0,0.6,8.0,27,0,1,1,3
723,Phab,1.0,180.0,4250.0,4,1.2,13.0,5.0,16.0,27,0,0,1,2
724,Phab Plus,2.0,250.0,3500.0,8,1.5,13.0,5.0,32.0,27,0,0,1,2
725,Vibe P1,2.0,380.0,5000.0,8,1.5,13.0,5.0,32.0,27,0,0,1,2
726,A6010 Plus,2.0,160.0,2300.0,4,1.2,13.0,5.0,16.0,27,0,1,1,3
727,A6010,1.0,150.0,2300.0,4,1.2,8.0,2.0,8.0,27,0,1,1,3
728,Vibe P1m,2.0,110.0,4000.0,4,1.0,8.0,5.0,16.0,27,0,0,1,2
729,Vibe S1,3.0,270.0,2420.0,8,1.7,13.0,8.0,32.0,27,0,0,1,3
730,ZUK Z1,3.0,320.0,4100.0,4,2.5,13.0,8.0,64.0,27,0,0,1,2
731,A2010,1.0,70.0,2000.0,4,1.0,5.0,2.0,8.0,27,0,1,1,3
732,A3900,0.512,70.0,2300.0,8,1.2,5.0,2.0,4.0,27,0,1,1,3
733,S60,2.0,280.0,2150.0,4,1.2,13.0,5.0,8.0,27,0,0,1,3
734,A6000 Plus,2.0,110.0,2300.0,4,1.2,8.0,2.0,16.0,27,0,1,1,3
735,A1900,0.512,60.0,1500.0,4,1.2,2.0,0.0,4.0,27,0,1,0,3
736,K3 Note,2.0,150.0,3000.0,8,1.7,13.0,5.0,16.0,27,0,1,0,2
737,Vibe Shot,3.0,300.0,3000.0,8,1.7,16.0,8.0,32.0,27,0,0,1,2
738,A7000 Plus,2.0,190.0,2900.0,8,1.7,13.0,5.0,16.0,27,0,1,1,2
739,A7000,2.0,150.0,2900.0,8,1.5,8.0,5.0,8.0,27,0,1,1,2
740,A5000,1.0,150.0,4000.0,4,1.3,8.0,2.0,8.0,27,0,0,1,2
741,P70,2.0,240.0,4000.0,8,1.7,13.0,5.0,16.0,27,0,0,1,2
742,Tab 2 A7-30,1.0,110.0,3450.0,4,1.3,2.0,0.6,16.0,27,0,0,0,2
743,Tab 2 A7-20,1.0,100.0,3450.0,4,1.3,2.0,0.6,16.0,27,0,0,0,2
744,Tab 2 A7-10,1.0,90.0,3450.0,4,1.3,0.6,0.0,16.0,27,0,0,0,2
745,A6000,1.0,100.0,2300.0,4,1.2,8.0,2.0,8.0,27,0,1,1,3
746,P90,2.0,450.0,4000.0,4,1.83,13.0,5.0,32.0,27,0,0,1,2
747,Vibe X2 Pro,2.0,330.0,2410.0,8,1.5,13.0,13.0,32.0,27,0,0,1,3
748,K3,1.0,80.0,2300.0,4,1.2,8.0,2.0,16.0,27,0,1,0,3
749,A916,1.0,160.0,2500.0,8,1.4,13.0,2.0,8.0,27,0,1,1,3
750,S856,1.0,210.0,2500.0,4,1.2,8.0,1.6,8.0,27,0,1,1,3
751,A319,0.512,70.0,1500.0,2,1.3,5.0,2.0,4.0,27,0,1,0,3
752,S580,1.0,170.0,2150.0,4,1.2,8.0,2.0,8.0,27,0,1,1,3
753,A606,1.0,120.0,2000.0,4,1.3,8.0,2.0,8.0,27,0,1,1,3
754,Yoga Tablet 2 Pro,2.0,410.0,9600.0,4,1.33,8.0,1.6,32.0,27,0,0,0,1
755,Yoga Tablet 2 10.1,2.0,300.0,9600.0,4,1.86,8.0,1.6,16.0,27,0,0,0,1
756,Yoga Tablet 2 8.0 ,2.0,230.0,6400.0,4,1.33,8.0,1.6,16.0,27,0,0,0,1
757,Tab S8,2.0,150.0,4290.0,4,1.86,8.0,1.6,16.0,27,0,0,0,2
758,Vibe X2,2.0,270.0,2300.0,8,2.0,13.0,5.0,32.0,27,0,0,1,3
759,Vibe Z2,2.0,430.0,3000.0,4,1.2,13.0,8.0,32.0,27,0,0,1,2
760,A850+,1.0,160.0,2500.0,8,1.4,5.0,0.6,4.0,27,0,1,0,3
761,Vibe Z2 Pro,3.0,430.0,4000.0,4,2.5,16.0,5.0,32.0,27,0,0,1,2
762,Golden Warrior A8,2.0,150.0,2500.0,8,1.7,13.0,5.0,16.0,27,0,1,0,3
763,S939,1.0,180.0,3000.0,8,1.7,8.0,1.6,8.0,27,0,1,0,2
764,S750,1.0,150.0,2000.0,4,1.2,8.0,0.6,4.0,27,0,1,0,3
765,A889,1.0,120.0,2500.0,4,1.3,8.0,0.6,8.0,27,0,1,0,3
766,A680,1.0,110.0,2000.0,4,1.3,5.0,0.6,4.0,27,0,1,1,3
767,A316i,0.512,50.0,1300.0,2,1.3,2.0,0.0,4.0,27,0,1,0,3
768,A328,1.0,90.0,2000.0,4,1.3,5.0,2.0,4.0,27,0,1,1,3
769,A536,1.0,100.0,2000.0,4,1.3,5.0,2.0,8.0,27,0,1,1,3
770,A526,1.0,70.0,2000.0,4,1.3,5.0,0.6,4.0,27,0,1,1,3
771,A10-70 A7600,1.0,190.0,6340.0,4,1.3,5.0,2.0,32.0,27,0,0,0,1
772,A8-50 A5500,1.0,140.0,4200.0,4,1.3,5.0,2.0,16.0,27,0,0,0,2
773,A7-50 A3500,1.0,120.0,3450.0,4,1.3,5.0,2.0,16.0,27,0,0,0,2
774,A7-30 A3300,1.0,80.0,3500.0,4,1.3,2.0,0.6,8.0,27,0,0,0,2
775,Yoga Tablet 10 HD+,2.0,260.0,9000.0,4,1.6,8.0,1.6,32.0,27,0,0,0,1
776,S860,2.0,250.0,4000.0,4,1.3,8.0,1.6,16.0,27,0,0,1,2
777,S850,1.0,200.0,2000.0,4,1.3,13.0,5.0,16.0,27,0,0,1,3
778,S660,1.0,170.0,3000.0,4,1.3,8.0,0.6,8.0,27,0,1,1,2
779,A880,1.0,130.0,2500.0,4,1.3,5.0,0.6,8.0,27,0,1,0,3
780,A859,1.0,140.0,2250.0,4,1.3,8.0,1.6,8.0,27,0,1,1,3
781,S930,1.0,220.0,3000.0,4,1.3,8.0,1.6,8.0,27,0,1,1,2
782,S650,1.0,270.0,2000.0,4,1.3,8.0,0.6,8.0,27,0,1,1,3
783,Vibe Z K910,2.0,480.0,3000.0,4,2.2,13.0,5.0,16.0,27,0,0,1,2
784,Yoga Tablet 10,1.0,220.0,9000.0,4,1.2,5.0,1.6,32.0,27,0,0,0,1
785,Yoga Tablet 8,1.0,190.0,6000.0,4,1.2,5.0,1.6,32.0,27,0,0,0,1
786,A630,0.512,80.0,2500.0,2,1.0,3.15,0.0,4.0,27,0,1,0,3
787,A516,0.512,110.0,2000.0,2,1.3,5.0,0.6,4.0,27,0,1,1,3
788,Vibe X S960,2.0,420.0,2000.0,4,1.5,13.0,5.0,32.0,27,0,0,1,3
789,S5000,1.0,130.0,3450.0,4,1.2,5.0,1.6,16.0,27,0,0,0,2
790,A850,1.0,150.0,2250.0,4,1.3,5.0,0.6,4.0,27,0,1,1,3
791,A706,1.0,150.0,2000.0,4,1.2,5.0,0.6,4.0,27,0,1,1,3
792,P780,1.0,190.0,4000.0,4,1.2,8.0,0.6,8.0,27,0,1,1,2
793,S820,1.0,230.0,2000.0,4,1.2,12.0,2.0,8.0,27,0,1,1,3
794,A390,0.512,70.0,1500.0,2,1.0,5.0,0.0,4.0,27,0,1,0,3
795,A369i,0.512,70.0,1500.0,2,1.3,2.0,0.0,4.0,27,0,1,1,3
796,S920,1.0,250.0,2250.0,4,1.2,8.0,2.0,4.0,27,0,1,1,3
797,IdeaTab S6000H,1.0,300.0,6350.0,4,1.2,5.0,0.6,32.0,27,0,0,1,1
798,IdeaTab S6000F,1.0,220.0,6350.0,4,1.2,5.0,0.6,16.0,27,0,0,1,1
799,IdeaTab S6000L,1.0,190.0,6350.0,4,1.2,0.6,0.0,16.0,27,0,0,1,1
800,IdeaTab A3000,1.0,180.0,3500.0,4,1.2,5.0,0.6,16.0,27,0,0,1,2
801,K900,2.0,360.0,2500.0,2,2.0,13.0,2.0,32.0,27,0,0,1,3
802,S890,1.0,230.0,2250.0,2,1.2,8.0,0.6,4.0,27,0,1,0,3
803,IdeaTab A2107,1.0,150.0,3550.0,1,1.0,3.15,0.6,16.0,27,0,0,0,2
804,A830,1.0,140.0,2250.0,4,1.2,8.0,0.6,4.0,27,0,1,0,3
805,A820,1.0,110.0,2000.0,4,1.2,8.0,0.0,4.0,27,0,1,0,3
806,A800,0.512,120.0,2000.0,2,1.2,5.0,0.0,4.0,27,0,1,0,3
807,A789,0.512,150.0,2000.0,2,1.0,5.0,0.6,4.0,27,0,1,0,3
808,S720,0.512,230.0,2000.0,2,1.0,8.0,1.0,4.0,27,0,1,0,3
809,P770,1.0,140.0,3500.0,2,1.2,5.0,0.6,4.0,27,0,1,0,2
810,S560,0.512,180.0,2000.0,2,1.0,5.0,0.6,4.0,27,0,1,0,3
811,S880,0.512,280.0,2250.0,1,1.0,5.0,0.6,4.0,27,0,1,0,3
812,A660,0.512,190.0,1500.0,2,1.0,5.0,0.6,4.0,27,0,1,0,3
813,K860,1.0,290.0,2250.0,4,1.4,8.0,2.0,8.0,27,0,1,0,3
814,P700i,0.512,140.0,2500.0,2,1.0,5.0,0.6,4.0,27,0,1,0,3
815,IdeaPad K1,1.0,330.0,7400.0,2,1.0,5.0,2.0,32.0,27,0,0,0,1
816,X venture,2.0,400.0,4100.0,8,1.4,16.0,5.0,32.0,24,0,0,0,2
817,G6,4.0,750.0,3300.0,4,2.35,13.0,5.0,128.0,24,0,0,1,2
818,Harmony,1.5,90.0,2800.0,4,1.4,8.0,5.0,16.0,24,0,1,0,2
819,K20 plus,2.0,160.0,2700.0,4,1.4,13.0,5.0,32.0,24,0,1,0,3
820,K10 (2017),2.0,210.0,2800.0,8,1.5,13.0,5.0,16.0,24,0,1,0,2
821,K8 (2017),1.5,160.0,2500.0,4,1.4,13.0,5.0,16.0,24,0,1,0,3
822,K3 (2017),1.0,100.0,2100.0,4,1.1,5.0,2.0,8.0,24,0,1,0,3
823,V20,4.0,560.0,3200.0,4,2.15,16.0,5.0,64.0,24,0,1,0,2
824,X mach,3.0,480.0,3000.0,6,1.4,12.3,8.0,32.0,24,0,1,0,2
825,X power,2.0,240.0,4100.0,4,1.3,13.0,5.0,16.0,24,0,0,0,2
826,X style,1.5,200.0,2100.0,4,1.3,8.0,5.0,16.0,24,0,0,0,3
827,Stylo 2,2.0,150.0,3000.0,4,1.2,13.0,5.0,16.0,24,0,1,0,2
828,K5,1.0,120.0,1900.0,4,1.3,5.0,2.0,8.0,24,0,1,0,3
829,K3,1.0,100.0,1940.0,4,1.1,5.0,0.6,8.0,24,0,1,0,3
830,G5 SE,3.0,350.0,2800.0,8,1.8,16.0,8.0,32.0,24,0,1,0,2
831,G5,4.0,450.0,2800.0,4,2.15,16.0,8.0,32.0,24,0,1,0,2
832,X cam,2.0,320.0,2520.0,8,1.14,13.0,8.0,16.0,24,0,0,0,3
833,X screen,2.0,180.0,2300.0,4,1.2,13.0,8.0,16.0,24,0,0,1,3
834,K8,1.5,150.0,2125.0,4,1.3,8.0,5.0,16.0,24,0,1,0,3
835,K4,1.0,100.0,1940.0,4,1.0,5.0,2.0,8.0,24,0,1,0,3
836,Ray,1.0,190.0,3000.0,8,1.4,13.0,8.0,16.0,24,0,1,0,2
837,G Vista 2,2.0,190.0,3000.0,8,1.5,13.0,5.0,16.0,24,0,1,0,2
838,Nexus 5X,2.0,270.0,2700.0,6,1.4,12.3,5.0,32.0,24,0,0,1,3
839,G Pad II 10.1,2.0,250.0,7400.0,4,2.26,5.0,2.0,16.0,24,0,0,0,1
840,G Pad II 8.0 LTE,1.5,300.0,4200.0,4,1.2,5.0,2.0,32.0,24,0,0,0,2
841,Tribute 2,1.0,90.0,1900.0,4,1.2,5.0,0.6,8.0,24,0,1,0,3
842,G4 Beat,1.5,160.0,2300.0,8,1.5,8.0,5.0,8.0,24,0,1,0,3
843,G4c,1.0,150.0,2540.0,4,1.3,8.0,5.0,8.0,24,0,1,0,3
844,G4 Dual,3.0,280.0,3000.0,6,1.4,16.0,8.0,32.0,24,0,1,0,2
845,G4,3.0,300.0,3000.0,6,1.4,16.0,8.0,32.0,24,0,1,0,2
846,G Stylo,1.0,180.0,3000.0,4,1.2,8.0,5.0,8.0,24,0,1,0,2
847,AKA,1.5,220.0,2610.0,4,1.2,8.0,2.1,16.0,24,0,1,0,3
848,Magna,1.0,140.0,2540.0,4,1.2,8.0,5.0,8.0,24,0,1,0,3
849,Spirit,1.0,120.0,2100.0,4,1.2,8.0,1.0,8.0,24,0,1,0,3
850,Leon,1.0,120.0,1900.0,4,1.2,5.0,0.6,8.0,24,0,1,0,3
851,Joy,0.512,90.0,1900.0,2,1.2,5.0,0.6,4.0,24,0,1,0,3
852,Tribute,1.0,50.0,2100.0,4,1.2,5.0,0.6,4.0,24,0,1,0,3
853,G3 Dual-LTE,3.0,250.0,3000.0,4,2.5,13.0,2.1,32.0,24,0,1,0,2
854,F60,1.0,100.0,2100.0,4,1.2,5.0,0.6,8.0,24,0,1,0,3
855,L60,0.512,90.0,1540.0,2,1.3,5.0,0.6,4.0,24,0,1,0,3
856,L60 Dual,0.512,90.0,1700.0,2,1.3,5.0,0.6,4.0,24,0,1,0,3
857,G3 Stylus,1.0,240.0,3000.0,4,1.3,13.0,1.3,8.0,24,0,1,0,2
858,L Bello,1.0,100.0,2540.0,4,1.3,8.0,1.0,8.0,24,0,1,0,3
859,L Fino,1.0,110.0,1900.0,4,1.2,8.0,0.6,4.0,24,0,1,0,3
860,G Pad 8.0 LTE,1.0,240.0,4200.0,4,1.2,5.0,1.3,32.0,24,0,0,0,2
861,G Vista,1.5,270.0,3200.0,4,1.2,8.0,1.3,8.0,24,0,1,0,2
862,G3 A,2.0,360.0,2610.0,4,2.26,13.0,2.1,32.0,24,0,1,0,3
863,L50,0.512,100.0,1900.0,2,1.3,3.15,0.6,4.0,24,0,1,0,3
864,L30,0.512,60.0,1540.0,2,1.0,2.0,0.0,4.0,24,0,1,0,3
865,L20,0.512,50.0,1540.0,2,1.0,2.0,0.0,4.0,24,0,1,0,3
866,G3 LTE-A,3.0,330.0,3000.0,4,2.7,13.0,2.1,32.0,24,0,1,0,2
867,G3 S Dual,1.0,210.0,2540.0,4,1.2,8.0,1.3,8.0,24,0,1,0,3
868,G3 S,1.0,190.0,2540.0,4,1.2,8.0,1.3,8.0,24,0,1,0,3
869,L65 D280,1.0,190.0,2100.0,2,1.2,5.0,0.6,4.0,24,0,1,0,3
870,G3 (CDMA),3.0,300.0,3000.0,4,2.5,13.0,2.1,32.0,24,0,1,0,2
871,Volt,1.0,130.0,3000.0,4,1.2,8.0,1.3,8.0,24,0,1,0,2
872,G Pad 10.1,1.0,260.0,8000.0,4,1.2,5.0,1.3,16.0,24,0,0,0,1
873,G Pad 8.0,1.0,220.0,4200.0,4,1.2,5.0,1.3,16.0,24,0,0,0,2
874,G Pad 7.0,1.0,160.0,4000.0,4,1.2,3.15,1.3,8.0,24,0,0,0,2
875,L80 Dual,1.0,120.0,2540.0,2,1.2,5.0,0.6,4.0,24,0,1,0,3
876,L65 Dual D285,1.0,150.0,2100.0,2,1.2,5.0,0.6,4.0,24,0,1,0,3
877,G Pad 8.3 LTE,2.0,220.0,4600.0,4,1.5,5.0,1.3,16.0,24,0,0,1,2
878,F70 D315,1.0,200.0,2440.0,4,1.2,5.0,0.6,8.0,24,0,1,0,3
879,G2 mini LTE (Tegra),1.0,240.0,2440.0,4,1.7,13.0,1.3,8.0,24,0,1,0,3
880,G2 mini LTE,1.0,180.0,2440.0,4,1.2,8.0,1.3,8.0,24,0,1,0,3
881,G2 mini,1.0,160.0,2440.0,4,1.2,8.0,1.3,8.0,24,0,1,0,3
882,L90 Dual D410,1.0,290.0,2540.0,4,1.2,5.0,0.6,8.0,24,0,1,1,3
883,L90 D405,1.0,170.0,2540.0,4,1.2,5.0,1.3,8.0,24,0,1,0,3
884,L70 D320N,1.0,150.0,2100.0,2,1.2,5.0,0.6,4.0,24,0,1,0,3
885,L70 Dual D325,1.0,130.0,2100.0,2,1.2,5.0,0.6,4.0,24,0,1,0,3
886,L40 D160,0.512,80.0,1540.0,2,1.2,3.15,0.0,4.0,24,0,1,0,3
887,L40 Dual D170,0.512,90.0,1700.0,2,1.2,3.15,0.0,4.0,24,0,1,0,3
888,G Pro 2,3.0,310.0,3200.0,4,2.26,13.0,2.1,32.0,24,0,1,0,2
889,Optimus L1 II Tri E475,0.512,90.0,1540.0,1,1.0,2.0,0.0,4.0,24,0,1,0,3
890,Optimus F3Q,1.0,230.0,2460.0,2,1.2,5.0,0.6,4.0,24,0,1,0,3
891,GX F310L,2.0,250.0,3140.0,4,1.7,13.0,2.1,32.0,24,0,1,0,2
892,Nexus 5,2.0,260.0,2300.0,4,2.3,8.0,1.3,32.0,24,0,0,1,3
893,G Flex,2.0,360.0,3500.0,4,2.26,13.0,2.1,32.0,24,0,0,1,2
894,G Pro Lite,1.0,250.0,3140.0,2,1.0,8.0,1.3,8.0,24,0,1,0,2
895,G Pro Lite Dual,1.0,240.0,3140.0,2,1.0,8.0,1.3,8.0,24,0,1,0,2
896,Optimus L2 II E435,0.512,70.0,1540.0,1,0.0,3.15,0.0,4.0,24,0,1,0,3
897,G Pad 8.3,2.0,300.0,4600.0,4,1.7,5.0,1.3,16.0,24,0,0,1,2
898,G2,2.0,270.0,3000.0,4,2.26,13.0,2.1,32.0,24,0,0,1,2
899,Optimus L9 II,1.0,250.0,2150.0,2,1.4,8.0,1.3,8.0,24,0,1,0,3
900,Enact VS890,1.0,260.0,2460.0,2,1.2,5.0,0.6,8.0,24,0,1,0,3
901,Optimus GJ E975W,2.0,270.0,2280.0,4,1.5,13.0,1.3,16.0,24,0,1,0,3
902,Optimus L4 II Dual E445,0.512,110.0,1700.0,1,1.0,3.15,0.0,4.0,24,0,1,0,3
903,Optimus L4 II E440,0.512,110.0,1700.0,1,1.0,3.15,0.0,4.0,24,0,1,0,3
904,Optimus F3,1.0,100.0,2460.0,2,1.2,5.0,0.6,4.0,24,0,1,0,3
905,Lucid2 VS870,1.0,270.0,2460.0,2,1.2,5.0,1.3,8.0,24,0,1,0,3
906,Optimus F5,1.0,220.0,2150.0,2,1.2,5.0,1.3,8.0,24,0,1,0,3
907,Optimus G Pro E985,2.0,400.0,3140.0,4,1.7,13.0,2.1,32.0,24,0,1,0,2
908,Optimus L7 II Dual P715,0.768,150.0,2460.0,2,1.0,8.0,0.6,4.0,24,0,1,0,3
909,Optimus L7 II P710,0.768,180.0,2460.0,2,1.0,8.0,0.6,4.0,24,0,1,0,3
910,Optimus L5 II Dual E455,0.512,120.0,1700.0,1,1.0,5.0,0.0,4.0,24,0,1,0,3
911,Optimus L5 II E460,0.512,140.0,1700.0,1,1.0,5.0,0.0,4.0,24,0,1,0,3
912,Optimus L3 II Dual E435,0.512,90.0,1540.0,1,1.0,3.15,0.0,4.0,24,0,1,1,3
913,Optimus L3 II E430,0.512,90.0,1540.0,1,1.0,3.15,0.0,4.0,24,0,1,1,3
914,Optimus L1 II E410,0.512,60.0,1540.0,1,1.0,2.0,0.0,4.0,24,0,1,0,3
915,Nexus 4 E960,2.0,250.0,2100.0,4,1.5,8.0,1.3,16.0,24,0,0,1,3
916,Spectrum II 4G VS930,1.0,170.0,2150.0,2,1.5,8.0,1.3,16.0,24,0,1,0,3
917,Mach LS860,1.0,150.0,1700.0,2,1.2,5.0,0.6,8.0,24,0,1,0,3
918,Optimus G E970,2.0,250.0,2100.0,4,1.5,8.0,1.3,16.0,24,0,0,1,3
919,Optimus G LS970,2.0,480.0,2100.0,1,0.0,13.0,1.3,32.0,24,0,0,1,3
920,Optimus G E975,2.0,160.0,2100.0,4,1.5,13.0,1.3,32.0,24,0,0,1,3
921,Splendor US730,0.768,120.0,1700.0,1,1.0,5.0,0.6,4.0,24,0,1,0,3
922,Escape P870,1.0,180.0,2150.0,2,1.2,5.0,1.3,4.0,24,0,1,0,3
923,Optimus L5 Dual E615,0.512,110.0,1540.0,1,0.8,5.0,0.0,4.0,24,0,1,0,3
924,Optimus L9 P760,1.0,170.0,2150.0,2,1.0,5.0,0.6,4.0,24,0,1,0,3
925,Motion 4G MS770,1.0,110.0,1700.0,2,1.2,5.0,0.6,8.0,24,0,1,0,3
926,Optimus Vu P895,1.0,210.0,2100.0,4,1.5,8.0,1.3,32.0,24,0,0,0,3
927,Optimus L3 E405,0.384,80.0,1540.0,1,0.8,3.15,0.0,1.0,24,0,1,0,3
928,Optimus Elite LS696,0.512,110.0,1520.0,1,0.8,5.0,0.0,4.0,24,0,1,0,3
929,Optimus LTE2,2.0,210.0,2150.0,2,1.5,8.0,1.3,16.0,24,0,1,0,3
930,Optimus True HD LTE P936,1.0,220.0,1830.0,2,1.5,8.0,1.3,4.0,24,0,1,0,3
